season,match_id,game_number,date,team_a,team_b,winner,duration_minutes,source
2,S2-RS-038,2,2018-10-19,EVOS Esports,Team Capcorn,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-038,3,2018-10-19,EVOS Esports,Team Capcorn,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-039,1,2018-10-19,RRQ.O2,Saints Indo,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-039,2,2018-10-19,RRQ.O2,Saints Indo,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-039,3,2018-10-19,RRQ.O2,Saints Indo,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-040,1,2018-10-20,Aerowolf Roxy,Bigetron Esports,Aerowolf Roxy,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-040,2,2018-10-20,Aerowolf Roxy,Bigetron Esports,Aerowolf Roxy,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-041,1,2018-10-20,Louvre Esports,ONIC Esports,ONIC Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-041,2,2018-10-20,Louvre Esports,ONIC Esports,ONIC Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-042,1,2018-10-20,Boom JR,EVOS Esports,EVOS Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-042,2,2018-10-20,Boom JR,EVOS Esports,EVOS Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-043,1,2018-10-21,SFI Esports,Boom JR,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-043,2,2018-10-21,SFI Esports,Boom JR,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-043,3,2018-10-21,SFI Esports,Boom JR,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-044,1,2018-10-21,Team Capcorn,Aerowolf Roxy,Aerowolf Roxy,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-044,2,2018-10-21,Team Capcorn,Aerowolf Roxy,Aerowolf Roxy,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-045,1,2018-10-21,ONIC Esports,Saints Indo,ONIC Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-045,2,2018-10-21,ONIC Esports,Saints Indo,ONIC Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-PO-001,1,2018-11-17,EVOS Esports,ONIC Esports,EVOS Esports,NULL,https://kincir.com/game/mobile-game/rekap-hari-pertama-grand-final-mpl-season-2-97xundo7x7oh/
2,S2-PO-001,2,2018-11-17,EVOS Esports,ONIC Esports,EVOS Esports,NULL,https://kincir.com/game/mobile-game/rekap-hari-pertama-grand-final-mpl-season-2-97xundo7x7oh/
2,S2-PO-002,1,2018-11-17,Aerowolf Roxy,RRQ.O2,Aerowolf Roxy,NULL,https://kincir.com/game/mobile-game/rekap-hari-pertama-grand-final-mpl-season-2-97xundo7x7oh/
2,S2-PO-002,2,2018-11-17,Aerowolf Roxy,RRQ.O2,RRQ.O2,NULL,https://kincir.com/game/mobile-game/rekap-hari-pertama-grand-final-mpl-season-2-97xundo7x7oh/
2,S2-PO-002,3,2018-11-17,Aerowolf Roxy,RRQ.O2,RRQ.O2,NULL,https://kincir.com/game/mobile-game/rekap-hari-pertama-grand-final-mpl-season-2-97xundo7x7oh/
2,S2-PO-003,1,2018-11-17,Louvre Esports,SFI Esports,Louvre Esports,NULL,https://kincir.com/game/mobile-game/rekap-hari-pertama-grand-final-mpl-season-2-97xundo7x7oh/
2,S2-PO-003,2,2018-11-17,Louvre Esports,SFI Esports,Louvre Esports,NULL,https://kincir.com/game/mobile-game/rekap-hari-pertama-grand-final-mpl-season-2-97xundo7x7oh/
2,S2-PO-004,1,2018-11-17,Saints Indo,Bigetron Esports,Saints Indo,NULL,https://kincir.com/game/mobile-game/rekap-hari-pertama-grand-final-mpl-season-2-97xundo7x7oh/
2,S2-PO-004,2,2018-11-17,Saints Indo,Bigetron Esports,Saints Indo,NULL,https://kincir.com/game/mobile-game/rekap-hari-pertama-grand-final-mpl-season-2-97xundo7x7oh/
2,S2-PO-005,1,2018-11-17,Aerowolf Roxy,Louvre Esports,Louvre Esports,NULL,https://kincir.com/game/mobile-game/rekap-hari-pertama-grand-final-mpl-season-2-97xundo7x7oh/
2,S2-PO-005,2,2018-11-17,Aerowolf Roxy,Louvre Esports,Louvre Esports,NULL,https://kincir.com/game/mobile-game/rekap-hari-pertama-grand-final-mpl-season-2-97xundo7x7oh/
2,S2-PO-006,1,2018-11-18,Saints Indo,ONIC Esports,Saints Indo,NULL,https://kincir.com/game/mobile-game/rekap-hari-2-grand-final-mpl-season-2-8gzryzb4nwkn/
2,S2-PO-006,2,2018-11-18,Saints Indo,ONIC Esports,ONIC Esports,NULL,https://kincir.com/game/mobile-game/rekap-hari-2-grand-final-mpl-season-2-8gzryzb4nwkn/
2,S2-PO-006,3,2018-11-18,Saints Indo,ONIC Esports,ONIC Esports,NULL,https://kincir.com/game/mobile-game/rekap-hari-2-grand-final-mpl-season-2-8gzryzb4nwkn/
2,S2-PO-007,1,2018-11-18,EVOS Esports,RRQ.O2,RRQ.O2,NULL,https://kincir.com/game/mobile-game/rekap-hari-2-grand-final-mpl-season-2-8gzryzb4nwkn/
2,S2-PO-007,2,2018-11-18,EVOS Esports,RRQ.O2,EVOS Esports,NULL,https://kincir.com/game/mobile-game/rekap-hari-2-grand-final-mpl-season-2-8gzryzb4nwkn/
