season,match_id,game_number,team,action,order,hero,source
14,S14-RS-004,2,EVOS Glory,pick_goldlane,NULL,Roger,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-004,2,EVOS Glory,pick_roamer,NULL,Minotaur,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,1,Geek Fam,pick_explane,NULL,Arlott,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,1,Geek Fam,pick_jungler,NULL,Julian,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,1,Geek Fam,pick_midlane,NULL,Zhuxin,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,1,Geek Fam,pick_goldlane,NULL,Moskov,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,1,Geek Fam,pick_roamer,NULL,Helcurt,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,1,Alter Ego Esports,pick_explane,NULL,Hylos,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,1,Alter Ego Esports,pick_jungler,NULL,Lancelot,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,1,Alter Ego Esports,pick_midlane,NULL,Valentina,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,1,Alter Ego Esports,pick_goldlane,NULL,Karrie,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,1,Alter Ego Esports,pick_roamer,NULL,Edith,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,2,Geek Fam,pick_explane,NULL,Arlott,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,2,Geek Fam,pick_jungler,NULL,Roger,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,2,Geek Fam,pick_midlane,NULL,Zhask,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,2,Geek Fam,pick_goldlane,NULL,Karrie,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,2,Geek Fam,pick_roamer,NULL,Edith,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,2,Alter Ego Esports,pick_explane,NULL,Terizla,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,2,Alter Ego Esports,pick_jungler,NULL,Alpha,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,2,Alter Ego Esports,pick_midlane,NULL,Valentina,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,2,Alter Ego Esports,pick_goldlane,NULL,Moskov,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,2,Alter Ego Esports,pick_roamer,NULL,Ruby,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,3,Geek Fam,pick_explane,NULL,Arlott,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,3,Geek Fam,pick_jungler,NULL,Julian,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,3,Geek Fam,pick_midlane,NULL,Lylia,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,3,Geek Fam,pick_goldlane,NULL,Roger,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,3,Geek Fam,pick_roamer,NULL,Khufra,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,3,Alter Ego Esports,pick_explane,NULL,Ruby,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,3,Alter Ego Esports,pick_jungler,NULL,Hayabusa,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,3,Alter Ego Esports,pick_midlane,NULL,Zhask,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,3,Alter Ego Esports,pick_goldlane,NULL,Claude,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-005,3,Alter Ego Esports,pick_roamer,NULL,Tigreal,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-006,1,Rebellion Esports,pick_explane,NULL,Barats,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
